,52W High,52W Low,52W Range,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volatility,Volume,_id,_rev,Day 1,Day 2,Day 3,Day 4,Day 5
SMI_11-15-2017,-20.15%,62.58%,4.49 - 9.14,0.40,338.35K,0.43,5.05,1.44,-0.0759,1.70,11-15-2017,0.62,-,-,0.34,48.20%,-68.20%,-7.90%,0.02,0.21,23.30%,31.90%,Nov 20 BMO,17967,38.35,28.50%,323.60M,-,Semiconductor - Integrated Circuits,-,-,0.80%,3.89%,0.55,7.64B,8.20%,No,-,1.56,5.49,23.37,7.90,2.44,0.00%,44.69%,19.88%,67.73%,-8.56%,3.67%,19.16%,7.90,7.30,10.30%,1.30,3.10%,7.40%,4.80%,47.49,2.30,10.43,-5.31%,21.84%,13.38%,3.13B,8.80%,17.20%,Technology,0.21%,3.42,Yes,543.01M,967.67M,5.83,SMI,2.90% 2.13%,271113,SMI_11-15-2017,1-6113b9a87de93ffa40c3bb30986b195a,0.020547945205479534,-0.024657534246575352,0.012328767123287676,0.020547945205479534,0.06301369863013706
SMI_11-17-2017,-22.12%,58.57%,4.49 - 9.14,0.42,379.99K,0.43,5.05,1.44,-0.06559999999999999,1.70,11-17-2017,0.62,-,-,0.34,48.20%,-68.20%,-7.90%,0.02,0.21,23.30%,31.90%,Nov 20 BMO,17967,36.99,28.50%,323.60M,-,Semiconductor - Integrated Circuits,-,-,0.80%,3.89%,0.55,7.37B,8.20%,No,-,1.51,5.30,22.54,7.62,2.35,0.00%,39.82%,18.32%,65.29%,-13.01%,0.00%,15.28%,7.62,7.12,10.30%,1.30,3.10%,7.40%,4.80%,46.03,2.30,4.42,-8.85%,18.72%,9.00%,3.13B,8.80%,17.20%,Technology,0.21%,3.05,Yes,543.01M,967.67M,5.83,SMI,3.91% 2.37%,129088,SMI_11-17-2017,1-49e9dfe0a0aa7309cdbc81c6ac44c2c9,0.037921348314606584,0.0463483146067416,0.0898876404494382,0.0660112359550562,0.012640449438202195
SMI_11-27-2017,-21.13%,60.58%,4.49 - 9.14,0.39,424.40K,0.45,5.10,1.82,-0.0501,1.90,11-27-2017,0.67,-,-,0.25,-14.50%,-75.60%,-9.20%,0.06,0.17,23.30%,31.90%,Nov 20 BMO,17967,42.16,26.80%,236.00M,-,Semiconductor - Integrated Circuits,-,-,0.70%,2.25%,0.57,6.83B,5.50%,No,-,1.41,3.96,28.50,5.55,2.18,0.00%,33.03%,6.19%,58.11%,1.41%,-5.38%,6.97%,7.59,7.21,7.50%,1.50,2.20%,5.20%,4.80%,47.09,3.30,1.13,-9.65%,20.05%,6.52%,3.13B,-0.70%,17.20%,Technology,0.21%,2.73,Yes,544.66M,947.67M,5.80,SMI,1.86% 2.46%,478962,SMI_11-27-2017,1-7de9d4127eb466898a6b1638447b6a62,,,,,
SMI_11-14-2017,-9.98%,83.30%,4.49 - 9.14,0.33,313.19K,0.43,5.05,1.44,-0.0916,1.70,11-14-2017,0.62,-,-,0.34,48.20%,-68.20%,-7.90%,0.02,0.21,23.30%,31.90%,Nov 20 BMO,17967,43.98,28.50%,323.60M,-,Semiconductor - Integrated Circuits,-,-,0.80%,3.89%,0.55,8.77B,8.20%,No,-,1.79,6.30,26.80,9.06,2.80,0.00%,64.13%,40.90%,94.00%,-0.55%,18.90%,26.36%,9.06,8.23,10.30%,1.30,3.10%,7.40%,4.80%,58.90,2.30,16.11,7.74%,37.48%,28.96%,3.13B,8.80%,17.20%,Technology,0.21%,3.70,Yes,543.01M,967.67M,5.83,SMI,2.00% 2.07%,387474,SMI_11-14-2017,1-f50a37f36c307861236e975aaae5135e,-0.1130012150668287,-0.09477521263669508,-0.1348724179829891,-0.10206561360874855,-0.09477521263669508
SMI_11-03-2017,4.93%,93.74%,4.49 - 8.29,0.25,249.53K,0.33,5.05,1.52,0.0928,1.70,11-03-2017,0.62,-,-,0.34,48.20%,-68.20%,-7.90%,0.02,0.21,23.30%,31.90%,Nov 06 BMO,17967,38.64,28.50%,323.60M,-,Semiconductor - Integrated Circuits,-,-,0.70%,-0.45%,0.55,7.29B,8.20%,No,-,1.58,5.24,23.55,7.53,2.33,0.00%,30.49%,43.42%,46.59%,17.23%,4.46%,22.84%,7.96,8.70,10.30%,1.30,3.10%,7.40%,4.80%,82.14,2.30,15.11,28.93%,46.87%,49.85%,3.13B,8.80%,17.20%,Technology,0.18%,3.84,Yes,542.75M,915.92M,5.83,SMI,1.66% 1.80%,307875,SMI_11-03-2017,1-537e7b3db756d8bfbf986a58a088034a,0.03333333333333344,-0.0344827586206895,0.019540229885057547,0.04367816091954024,-0.05402298850574705
SMMF_11-17-2017,-17.13%,30.21%,19.13 - 30.06,0.98,25.17K,1.03,16.16,5.12,-0.0507,-,11-17-2017,0.10,0.44,1.68%,1.20,64.82%,20.60%,10.00%,0.51,2.09,27.00%,7.40%,Oct 23,251,12.59,-,14.30M,-,Regional - Mid-Atlantic Banks,6.00%,1.01%,29.30%,-3.10%,0.10,324.85M,76.80%,No,2.19,1.62,5.12,21.92,30.08,4.08,35.80%,22.62%,-4.65%,20.09%,2.66%,-4.69%,9.74%,26.24,24.91,18.00%,-,0.70%,8.20%,23.00%,39.20,3.00,0.83,-5.89%,7.98%,-4.21%,79.70M,38.40%,-2.00%,Financial,1.15%,4.73,Yes,10.31M,12.38M,27.50,SMMF,5.29% 3.85%,1598,SMMF_11-17-2017,1-e0f09afeb0f607710ae6c000b4f6101f,0.07226013649136886,0.0830991569650743,0.08390204737053386,0.06423123243677242,0.07466880770774798
SM_11-01-2017,-47.23%,82.26%,12.29 - 42.45,1.00,3.85M,3.04,22.48,5.38,0.050199999999999995,2.20,11-01-2017,1.16,0.10,0.47%,-3.13,26.20%,56.50%,29.50%,-0.31,-0.79,-38.50%,-49.70%,Nov 02 AMC,607,-,56.40%,-287.30M,-,Independent Oil & Gas,0.90%,0.54%,-,-0.42%,1.16,2.22B,-21.90%,Yes,-,0.95,3.96,-,-,1.71,-,-0.61%,20.58%,31.34%,18.37%,-38.14%,-36.57%,21.33,22.40,-22.10%,2.20,-4.60%,-12.10%,-11.10%,77.40,2.30,2.38,20.72%,11.60%,34.75%,1.30B,-1.30%,-3.10%,Basic Materials,18.65%,4.97,Yes,102.50M,104.00M,25.10,SM,6.37% 4.95%,681803,SM_11-01-2017,1-82d0f73a4e984cbc79f5c43210442b84,-0.03660714285714284,-0.07499999999999996,0.0031250000000000444,-0.0424107142857143,-0.0401785714285714
SM_11-22-2017,-50.12%,72.29%,12.29 - 42.45,1.03,3.98M,3.09,21.62,4.10,0.056100000000000004,1.50,11-22-2017,1.20,0.10,0.50%,-3.40,51.00%,-53.20%,29.50%,-0.21,-0.48,-38.50%,-49.70%,Nov 02 AMC,607,-,57.60%,-335.50M,-,Independent Oil & Gas,0.90%,0.52%,-,7.90%,1.20,2.16B,-27.80%,Yes,-,0.93,4.89,-,-,1.70,-,-2.05%,12.64%,47.32%,1.98%,-41.85%,-45.53%,20.05,21.17,-26.50%,1.50,-5.30%,-13.40%,-11.10%,56.71,2.30,1.13,3.04%,9.76%,12.48%,1.27B,-10.00%,-3.10%,Basic Materials,18.77%,4.83,Yes,102.50M,107.66M,26.75,SM,4.32% 5.54%,346734,SM_11-22-2017,1-11add128e0e9e862755e2a4e823697cf,-0.009919697685403905,-0.08171941426547003,,,
SM_11-27-2017,-54.20%,58.18%,12.29 - 42.45,1.09,4.01M,3.08,21.62,3.94,-0.0725,1.50,11-27-2017,1.20,0.10,0.51%,-3.40,58.80%,-53.20%,-,-0.20,-0.41,-38.50%,-49.70%,Nov 02 AMC,607,-,57.60%,-335.50M,-,Independent Oil & Gas,0.90%,0.50%,-,7.88%,1.20,2.18B,-27.80%,Yes,-,0.90,4.94,-,-,1.72,-,12.05%,8.72%,47.61%,-4.19%,-43.62%,-45.38%,20.96,19.44,-26.50%,1.50,-5.30%,-13.40%,-11.10%,45.65,2.30,0.94,-6.76%,1.14%,2.11%,1.27B,-10.00%,-3.10%,Basic Materials,18.77%,4.80,Yes,102.50M,112.10M,26.95,SM,4.40% 5.64%,3778048,SM_11-27-2017,1-b0c2b248e6a04eda50484517ebebd7cb,,,,,
SNAP_11-08-2017,-53.81%,20.56%,11.28 - 29.44,0.72,27.75M,-,2.89,2.45,-0.1005,11.80,11-08-2017,0.00,-,-,-2.93,18.50%,-261.60%,70.00%,-0.15,-0.54,-,-38.00%,Nov 07 AMC,1859,-,4.60%,-2946.10M,-,Internet Software & Services,2.70%,-4.17%,36.60%,2.04%,0.00,17.25B,-,Yes,-,5.23,6.17,-,-,27.59,-,-34.20%,2.79%,11.50%,-1.43%,-38.24%,-,15.12,13.60,-,11.80,-102.60%,-112.50%,-33.50%,39.02,2.80,15.14,-11.29%,-22.69%,-8.64%,625.20M,153.10%,-,Technology,19.81%,4.36,Yes,611.62M,1.14B,14.78,SNAP,4.90% 5.16%,32279098,SNAP_11-08-2017,1-126497f221342801a23d7d1befc64b22,-0.07499999999999996,-0.0691176470588235,-0.09338235294117647,-0.09779411764705881,-0.0794117647058824
SND_11-15-2017,-64.53%,62.16%,4.81 - 21.99,0.49,598.30K,-,4.42,1.32,-0.0736,3.40,11-15-2017,0.01,-,-,0.66,149.27%,-,33.63%,0.13,0.86,-,123.40%,Nov 09 BMO,103,9.85,38.40%,23.10M,-,Industrial Metals & Minerals,1.60%,0.00%,86.20%,2.44%,0.00,328.46M,23.00%,Yes,0.38,1.90,6.40,12.72,-,2.66,0.00%,-32.80%,23.64%,66.40%,11.23%,-49.12%,-24.69%,8.42,7.80,18.70%,3.10,11.50%,14.00%,6.90%,56.90,2.00,5.49,7.83%,-23.78%,12.24%,123.60M,260.60%,-,Basic Materials,11.15%,5.98,Yes,32.09M,39.01M,7.96,SND,7.75% 6.08%,252292,SND_11-15-2017,1-37e881a08edac609eff5251cb71ce842,-0.02179487179487183,0.01025641025641022,0.03076923076923066,0.04358974358974366,0.014102564102564052
SNE_10-31-2017,5.64%,58.73%,27.72 - 41.65,0.48,692.96K,1.78,18.00,14.56,0.1326,0.80,10-31-2017,0.52,0.18,0.46%,0.91,19.46%,281.30%,73.80%,0.54,2.64,16.30%,-51.60%,Oct 31 BMO,128400,14.72,25.60%,1.17B,-,Electronic Equipment,-,-,6.80%,-0.05%,0.23,48.76B,5.00%,Yes,0.58,2.16,2.67,42.93,10.40,0.71,19.00%,11.83%,4.04%,-4.57%,3.57%,38.60%,23.37%,38.85,44.00,1.70%,0.70,0.80%,5.40%,4.50%,83.18,1.00,22.33,17.96%,23.04%,15.80%,68.86B,15.20%,3.20%,Consumer Goods,0.10%,1.43,Yes,1.00B,1.26B,46.97,SNE,1.48% 0.86%,1263902,SNE_10-31-2017,1-f70c35d47e6c4c578210a2778b83309d,-0.012272727272727213,0.011590909090908985,0.0165909090909091,0.04249999999999998,0.07477272727272721
SNR_11-03-2017,-22.37%,-2.67%,8.63 - 10.82,0.15,695.83K,-,6.45,0.74,-0.0508,1.50,11-03-2017,3.96,1.04,11.75%,-0.36,10.90%,111.30%,-,-0.14,-0.57,-,18.50%,Nov 03 BMO,-,-,75.70%,-29.80M,-,USA,2.23%,0.00%,67.50%,-0.14%,3.96,719.68M,-13.70%,Yes,-,1.37,11.90,-,-,1.55,-,-11.32%,-4.84%,-5.45%,0.68%,-9.60%,-7.04%,8.85,8.40,-6.40%,1.50,-1.10%,-5.30%,-3.10%,27.07,3.30,2.73,-6.05%,-14.33%,-7.98%,465.20M,-3.50%,67.00%,REIT - Diversified,4.39%,5.07,Yes,80.31M,81.32M,9.67,SNR,1.58% 1.84%,155363,SNR_11-03-2017,1-0dc2e435f11ec28eb8fb464970e3a9e1,-0.03214285714285714,-0.029761904761904767,-0.025000000000000133,-0.027380952380952395,-0.025000000000000133
SN_11-01-2017,-68.32%,27.37%,3.58 - 14.39,0.26,2.87M,1.65,-5.86,1.66,0.053099999999999994,1.00,11-01-2017,-,-,-,-0.16,-,108.50%,-,-0.16,0.35,-,82.00%,Nov 03 BMO,-,12.23,62.80%,-3.70M,-,Independent Oil & Gas,7.90%,7.75%,72.20%,-0.19%,-,334.19M,-5.80%,Yes,-,-,2.61,-,2.43,0.61,-,-45.74%,-11.63%,-11.27%,10.46%,-52.05%,-32.03%,4.33,4.56,-0.70%,1.00,-0.20%,0.60%,-19.00%,58.18,-,1.95,7.22%,-38.51%,3.35%,550.10M,58.30%,97.10%,Basic Materials,28.96%,7.24,Yes,71.64M,77.18M,-,SN,7.61% 5.84%,414857,SN_11-01-2017,1-984d80fd03613e1b58a70370d05836a3,0.002192982456140413,-0.08114035087719285,0.06140350877192979,0.07456140350877205,0.07017543859649122
SPB_11-16-2017,-25.19%,11.40%,98.11 - 146.09,2.59,426.36K,0.76,30.77,1.91,0.1001,1.90,11-16-2017,2.27,1.68,1.69%,4.91,12.15%,-21.90%,9.25%,1.47,6.25,43.40%,124.90%,Nov 16 BMO,15700,15.90,38.10%,291.50M,-,Personal Products,0.39%,0.00%,32.47%,-3.40%,2.25,5.72B,12.40%,Yes,2.19,3.23,52.01,20.23,12.67,1.16,32.40%,-23.20%,-10.40%,-7.98%,-4.65%,-18.79%,-24.01%,99.35,109.29,5.90%,1.00,4.10%,16.30%,11.40%,57.17,1.80,6.45,2.84%,-11.30%,3.42%,4.94B,-4.20%,9.60%,Consumer Goods,10.88%,14.65,Yes,57.43M,57.53M,137.55,SPB,2.15% 2.39%,211142,SPB_11-16-2017,1-f8bf625518f75744dce73ba6cef0d39c,0.023423918016286738,0.021227925702260064,0.02616890840882058,0.042364351724768934,0.03842986549547067
SPIL_11-24-2017,-0.36%,18.58%,7.05 - 8.39,0.09,74.92K,0.29,3.46,1.10,0.0529,1.20,11-24-2017,0.48,0.29,3.47%,0.43,19.57%,-23.20%,20.00%,-,0.55,14.00%,4.70%,Oct 30 BMO,24353,15.20,21.20%,288.60M,-,Semiconductor Equipment & Materials,1.50%,0.00%,2.90%,-6.32%,0.20,5.23B,-,Yes,0.96,2.42,7.57,19.26,7.78,1.87,-,0.00%,6.36%,5.42%,5.82%,14.52%,11.32%,7.94,8.36,9.80%,1.00,6.70%,12.40%,8.90%,79.80,1.00,1.91,6.09%,4.62%,5.97%,2.80B,0.00%,6.80%,Technology,0.03%,1.88,Yes,543.15M,626.12M,8.10,SPIL,1.35% 0.95%,142985,SPIL_11-24-2017,1-35d654f575aa22d2e0d3311668b15311,-0.005980861244018976,,,,
SPKE_11-01-2017,-37.63%,27.98%,11.52 - 23.65,0.52,141.49K,-,2.78,2.48,0.0536,2.40,11-01-2017,2.71,0.72,5.14%,0.72,52.87%,-98.70%,-,0.24,1.36,32.86%,96.00%,Nov 02 AMC,143,10.32,28.90%,10.10M,-,Electric Utilities,8.20%,3.81%,-,0.83%,2.51,483.14M,9.90%,No,-,5.04,5.65,19.58,8.74,0.72,93.40%,-15.02%,-5.72%,-26.12%,0.72%,-7.59%,15.70%,14.00,14.75,1.50%,2.30,2.70%,31.50%,67.70%,54.19,2.40,1.50,3.94%,-12.85%,-3.45%,674.50M,-31.20%,-,Utilities,32.55%,25.78,Yes,11.21M,34.51M,21.40,SPKE,3.26% 3.82%,15812,SPKE_11-01-2017,1-c55f26623cd5427388032b2c5bd9a653,-0.006779661016949157,0.03050847457627115,-0.11525423728813555,-0.1796610169491526,-0.1457627118644068
SPLK_11-17-2017,13.07%,59.56%,50.64 - 71.46,1.61,1.71M,2.01,5.52,7.63,0.1659,2.00,11-17-2017,0.00,-,-,-2.57,51.39%,7.80%,42.19%,0.14,0.82,-37.90%,-20.60%,Nov 16 AMC,2700,84.93,79.00%,-351.10M,-,Application Software,1.10%,-35.49%,-,0.75%,0.00,9.85B,-31.80%,Yes,-,12.55,9.09,-,57.01,9.17,-,5.11%,9.51%,16.80%,-2.09%,35.48%,14.89%,69.30,80.80,-32.70%,2.00,-21.10%,-44.60%,-43.40%,78.53,2.00,20.64,19.86%,28.27%,20.97%,1.07B,31.60%,51.00%,Technology,7.97%,6.45,Yes,138.67M,142.08M,75.08,SPLK,2.43% 2.33%,2716438,SPLK_11-17-2017,1-beedcff97525e0cecd94be5190d6db50,0.006311881188118873,0.023638613861385993,0.03762376237623766,0.04084158415841577,0.015965346534653646
SPTN_11-16-2017,-45.17%,19.32%,18.56 - 40.38,1.11,220.09K,1.06,19.27,0.35,0.0629,1.80,11-16-2017,0.95,0.66,3.17%,-2.01,4.59%,-843.70%,0.49%,0.45,2.23,1.80%,-9.30%,Nov 08 AMC,8500,9.32,14.30%,-73.20M,-,Food Wholesale,1.50%,-2.35%,95.60%,1.71%,0.92,793.62M,-,Yes,-,1.08,60.12,-,-,0.10,-,-41.72%,-18.09%,-15.74%,-12.00%,-47.32%,-43.53%,20.83,22.14,-,0.70,-,-,6.00%,41.50,3.00,1.14,-7.27%,-25.69%,-10.74%,8.03B,5.90%,24.00%,Services,2.33%,3.88,Yes,36.67M,38.10M,25.50,SPTN,8.36% 4.43%,19282,SPTN_11-16-2017,1-3999b21ea83563ecccc59d0274cab24f,0.028455284552845406,0.02935862691960245,0.012646793134598155,0.016711833785004515,0.0185185185185186
SPTN_11-09-2017,-50.00%,-11.83%,22.90 - 40.38,0.83,193.69K,1.02,22.84,0.62,-0.147,1.90,11-09-2017,0.78,0.66,2.79%,1.75,6.10%,19.90%,3.72%,0.56,2.37,1.80%,-9.30%,Nov 08 AMC,8500,10.00,14.40%,64.50M,-,Food Wholesale,1.50%,-2.43%,93.50%,-0.49%,0.76,870.58M,1.50%,Yes,3.65,1.04,38.35,13.56,20.88,0.11,36.20%,-36.88%,-8.79%,-9.24%,-8.11%,-40.14%,-18.07%,23.67,20.19,0.80%,0.80,3.10%,7.70%,6.00%,22.39,3.00,2.67,-19.61%,-33.22%,-19.90%,7.93B,3.70%,24.00%,Services,2.47%,4.63,Yes,36.37M,36.78M,27.00,SPTN,5.42% 3.01%,41017,SPTN_11-09-2017,1-5b0101cdb0d84d118d6c573db7d4a3dc,-0.0034670629024269317,-0.000990589400693409,0.021792966815255,0.0965824665676076,0.1277860326894502
SPWR_11-02-2017,-29.06%,42.12%,5.84 - 11.70,0.30,2.79M,3.12,5.35,2.47,0.1641,1.40,11-02-2017,2.80,-,-,-3.92,103.70%,-32.60%,-,-0.39,0.04,11.50%,-146.20%,Nov 02 BMO,8902,162.05,3.30%,-543.90M,-,Semiconductor - Specialized,0.20%,0.00%,31.30%,-1.30%,2.22,945.08M,-18.40%,Yes,-,1.33,2.89,-,40.39,0.38,-,6.74%,-1.52%,-19.71%,5.79%,7.87%,-0.56%,7.13,8.30,-21.80%,1.00,-11.90%,-56.40%,-14.40%,68.49,2.80,12.60,20.22%,5.14%,7.33%,2.49B,-19.80%,1.50%,Technology,79.16%,4.83,Yes,17.03M,132.55M,9.08,SPWR,5.16% 3.85%,2617481,SPWR_11-02-2017,1-08d6ffb81b3d06cf74ed280acabdee91,0.0072289156626503814,0.051807228915662584,0.04096385542168668,0.014457831325301207,0.034939759036144435
SPXC_11-03-2017,4.34%,104.56%,15.49 - 30.37,0.76,274.49K,1.73,4.92,1.98,0.0908,1.10,11-03-2017,1.76,-,-,0.33,19.97%,23.20%,15.62%,0.29,2.10,-34.50%,110.50%,Nov 02 AMC,5000,13.81,26.10%,14.20M,-,Diversified Machinery,1.00%,0.00%,99.50%,4.27%,1.51,1.23B,3.40%,Yes,5.60,5.90,14.69,87.50,67.04,0.90,-,2.69%,-0.79%,8.11%,-2.65%,22.47%,61.12%,29.05,31.69,-5.60%,0.80,-3.90%,-34.30%,8.10%,69.55,2.50,1.38,8.23%,22.47%,14.95%,1.36B,-5.80%,-19.20%,Industrial Goods,0.98%,1.50,Yes,41.84M,42.23M,29.50,SPXC,3.31% 2.30%,30999,SPXC_11-03-2017,1-7492e103ba6622a57449fafd1a94f439,-0.001262227832123819,-0.024928999684443176,-0.04386241716629857,-0.050489113284947984,-0.04954244241085515
SQ_11-27-2017,-17.23%,231.34%,12.38 - 49.56,2.28,10.36M,-,1.91,2.24,-0.1605,1.80,11-27-2017,0.48,-,-,-0.17,75.78%,55.40%,-,0.07,0.45,-,20.60%,Nov 08 AMC,1853,91.16,37.40%,-62.30M,-,Internet Software & Services,1.00%,-37.74%,86.40%,3.85%,0.48,15.92B,-2.70%,Yes,-,21.48,18.34,-,143.19,7.77,-,80.39%,20.26%,64.67%,-7.15%,200.95%,221.73%,48.86,41.02,-3.00%,1.80,-3.80%,-9.40%,-29.90%,54.56,2.30,7.36,2.19%,66.20%,19.18%,2.05B,33.30%,-,Technology,12.70%,3.21,Yes,262.01M,388.17M,38.62,SQ,7.36% 5.14%,76229336,SQ_11-27-2017,1-51c046413193405108719a77c7ddff41,,,,,
SRCI_11-09-2017,-19.65%,34.73%,6.19 - 10.38,0.39,2.90M,1.58,4.69,0.10,-0.0805,0.60,11-09-2017,0.16,-,-,0.48,54.50%,326.80%,50.00%,0.23,1.03,-47.70%,-10.60%,Nov 01 AMC,96,8.81,83.00%,97.00M,-,Industrial Metals & Minerals,0.70%,0.00%,-,-0.36%,0.16,1.87B,37.50%,Yes,0.38,1.93,87.60,18.82,8.07,7.11,0.00%,22.90%,-2.37%,10.07%,-7.92%,1.80%,20.93%,9.07,8.34,37.00%,0.60,8.10%,11.00%,-25.20%,37.14,1.90,32.68,-9.65%,4.27%,-5.73%,262.40M,295.40%,33.80%,Basic Materials,20.48%,13.81,Yes,195.61M,205.73M,11.40,SRCI,7.15% 3.99%,7511160,SRCI_11-09-2017,1-f1635e4409fdd9db47c07bf89b385318,0.021582733812949506,0.020383693045563644,-0.03717026378896893,-0.06714628297362102,-0.023980815347721784
SRCL_11-09-2017,-28.64%,-5.24%,66.27 - 88.00,1.15,703.14K,0.20,32.25,-,-0.0641,0.90,11-09-2017,1.04,-,-,-0.25,3.94%,-501.20%,8.25%,1.14,4.77,-5.00%,-30.20%,Nov 08 AMC,25000,14.06,41.60%,-21.10M,S&P 500,Waste Management,1.10%,-2.04%,98.80%,0.54%,1.00,5.78B,3.20%,Yes,-,2.08,-,-,14.20,1.60,-,-21.04%,-5.23%,-6.08%,-2.34%,-12.90%,-9.61%,67.10,62.80,-0.60%,0.90,-0.30%,-0.70%,5.40%,15.84,2.50,13.41,-10.64%,-18.96%,-11.31%,3.61B,2.90%,16.30%,Industrial Goods,6.31%,7.55,Yes,84.16M,86.10M,88.56,SRCL,1.62% 1.62%,747230,SRCL_11-09-2017,1-962e4fb95ffc16e39694c75ed37793a7,0.017675159235668758,0.014171974522293018,-0.00175159235668787,0.012101910828025586,-0.0036624203821655765
SRI_11-03-2017,-0.48%,61.30%,14.16 - 22.95,0.71,151.78K,1.46,7.41,1.56,0.058899999999999994,2.30,11-03-2017,0.69,-,-,2.71,1.10%,-21.80%,0.28%,0.32,1.47,6.40%,232.90%,Nov 02 BMO,4200,14.64,29.30%,76.90M,-,Auto Parts,0.30%,-41.13%,90.10%,-0.05%,0.66,610.86M,6.90%,Yes,28.48,2.91,13.82,7.97,13.02,0.80,0.00%,18.06%,-1.91%,28.09%,-3.40%,21.93%,49.58%,21.57,22.84,10.10%,1.60,16.60%,43.30%,30.70%,63.14,3.00,2.29,3.48%,30.26%,16.18%,759.90M,11.90%,-1.90%,Consumer Goods,0.99%,1.74,Yes,26.56M,28.32M,19.00,SRI,4.83% 2.71%,28361,SRI_11-03-2017,1-fb94912653bd0d36a20c799a57a61438,-0.024518388791593626,-0.05823117338003492,-0.057355516637478066,-0.06217162872154103,-0.04728546409807344
SSD_10-31-2017,12.77%,42.11%,39.82 - 50.18,0.69,165.37K,1.48,18.88,2.99,0.1637,4.40,10-31-2017,0.00,0.84,1.73%,2.05,6.55%,9.40%,16.00%,0.61,2.23,12.30%,34.60%,Oct 30 AMC,2647,21.81,47.30%,98.50M,-,Small Tools & Accessories,1.90%,-62.44%,92.60%,0.45%,0.00,2.30B,16.20%,Yes,1.48,2.58,16.28,23.70,-,2.51,36.40%,16.59%,-0.84%,9.53%,-1.24%,11.15%,14.72%,48.63,56.59,10.80%,2.50,9.80%,11.20%,10.40%,84.92,3.00,15.72,14.58%,29.00%,19.91%,914.00M,14.30%,7.40%,Industrial Goods,3.82%,9.35,Yes,40.42M,47.21M,48.00,SSD,1.69% 1.36%,212353,SSD_10-31-2017,1-d645aeb3e699a8db484f168468603bf9,-0.0014136773281498982,0.01661070860576075,0.026859869234847178,0.02951051422512796,0.02067503092419143
SSRM_11-08-2017,-32.02%,13.90%,7.70 - 12.90,0.25,958.56K,-0.28,8.16,4.43,-0.09119999999999999,9.70,11-08-2017,0.00,-,-,0.79,-26.21%,111.60%,-,0.04,0.30,-9.00%,140.40%,Nov 07 AMC,1250,31.74,32.00%,102.50M,-,Silver,3.30%,-,55.90%,1.30%,0.23,1.15B,28.10%,Yes,-,1.18,2.18,12.26,6.04,2.28,0.00%,2.44%,-13.84%,5.46%,0.52%,8.18%,-12.75%,9.65,8.77,20.30%,7.50,7.00%,10.90%,8.40%,23.36,2.30,4.30,-11.94%,-14.13%,-15.24%,505.60M,-1.50%,27.10%,Basic Materials,2.48%,3.08,Yes,119.31M,119.31M,13.38,SSRM,1.97% 2.60%,316756,SSRM_11-08-2017,1-f46f9d20a2a531986e6cf1a67a72d04e,-0.005701254275940593,-0.012542759407069504,-0.01824401368301032,-0.036488027366020526,-0.02850627137970352
SSTK_10-31-2017,-33.09%,34.17%,29.85 - 59.86,0.81,278.37K,1.44,8.43,7.65,0.1693,1.60,10-31-2017,0.00,-,-,0.81,13.16%,-57.20%,11.33%,0.27,1.31,7.30%,68.50%,Oct 31 BMO,858,26.21,58.90%,28.90M,-,Business Services,0.60%,0.00%,64.40%,0.08%,0.00,1.19B,7.40%,Yes,3.74,4.06,4.48,42.34,23.51,2.30,0.00%,-22.00%,2.88%,-17.87%,-0.93%,-27.93%,-42.04%,34.25,40.05,5.60%,1.60,5.80%,10.10%,11.80%,79.17,3.30,13.81,16.73%,-4.03%,18.80%,517.50M,7.70%,32.70%,Services,19.66%,12.91,Yes,18.28M,34.74M,34.00,SSTK,2.49% 2.22%,314064,SSTK_10-31-2017,1-fae8a88fb3d2d81201d65f9785786b59,-0.023470661672908788,-0.05368289637952561,-0.08339575530586762,-0.07990012484394493,-0.059675405742821486
